,County,Country,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population,Unnamed: 17,Lifted Date,lat,lng,Date,Specie,City
130,Los Angeles,US,3990456,8484,10039107,2473,3/19/2020,14.2,48.6,8.2,15,0.7,0.3,22.4,4.9,1299277,,,34.052235,-118.243683,3/7/2020,co,Los Angeles
131,Dane,US,258054,3280,546695,456,3/27/2020,10.8,91.9,5.3,6.5,0.3,0,2.8,3,67689,,,43.073051,-89.40123,,,Madison
132,New York,US,1628706,69467.5,1628706,69467.5,3/22/2020,15.6,55.3,14.8,13.1,0.5,0.1,11.8,4.5,257362,,,40.741997,-73.986107,2/25/2020,o3,Manhattan
133,Shelby,US,650618,2056,937165,1228,3/24/2020,21.7,37.3,54,2.7,0.2,0.1,3.9,1.9,118566,,,35.1175,-89.971107,,,Memphis
134,Miami-Dade,US,470914,12599,2716940,1431,3/26/2020,16,75.1,17.2,1.5,0.2,0,3.4,2.5,423353,,,25.761681,-80.191788,,,Miami
135,Milwaukee,US,592025,6186,945726,3924,3/25/2020,19.1,57.8,26.9,4.6,0.8,0,6.4,3.6,123013,,,43.038902,-87.906471,2/5/2020,o3,Milwaukee
136,Milwaukee,US,592025,6186,945726,3924,3/25/2020,19.1,57.8,26.9,4.6,0.8,0,6.4,3.6,123013,,,43.038902,-87.906471,3/11/2020,co,Milwaukee
137,Jiangxi,CN,3559958,11000,,,2/5/2020,,,,,,,,,,,,28.683333,115.883333,1/21/2020,o3,Nanchang
138,Jiangxi,CN,3559958,11000,,,2/5/2020,,,,,,,,,,,,28.683333,115.883333,1/21/2020,no2,Nanchang
139,Jiangxi,CN,3559958,11000,,,2/5/2020,,,,,,,,,,,,28.683333,115.883333,1/6/2020,pm10,Nanchang
140,Jiangxi,CN,3559958,11000,,,2/5/2020,,,,,,,,,,,,28.683333,115.883333,1/6/2020,so2,Nanchang
141,Jiangxi,CN,3559958,11000,,,2/5/2020,,,,,,,,,,,,28.683333,115.883333,1/26/2020,co,Nanchang
142,Jiangsu,CN,8745666,3183,,,2/4/2020,,,,,,,,,,,,32.061667,118.777778,2/20/2020,o3,Nanjing
143,Jiangsu,CN,8745666,3183,,,2/4/2020,,,,,,,,,,,,32.061667,118.777778,1/16/2020,no2,Nanjing
144,Guangxi,CN,4417600,850,,,2/5/2020,,,,,,,,,,,,22.816667,108.316667,1/11/2020,pm10,Nanning
145,Guangxi,CN,4417600,850,,,2/5/2020,,,,,,,,,,,,22.816667,108.316667,1/6/2020,so2,Nanning
146,Davidson,US,669053,1388,694144,1377,3/23/2020,15.4,60.1,27.3,3.9,0.3,0.1,5.3,3.1,79891,,,36.174465,-86.76796,2/28/2020,o3,Nashville
147,Zhejiang,CN,4065501,4782,,,2/4/2020,,,,,,,,,,,,29.878186,121.549453,1/24/2020,o3,Ningbo
148,Zhejiang,CN,4065501,4782,,,2/4/2020,,,,,,,,,,,,29.878186,121.549453,1/11/2020,no2,Ningbo
149,Zhejiang,CN,4065501,4782,,,2/4/2020,,,,,,,,,,,,29.878186,121.549453,1/24/2020,co,Ningbo
150,Alameda,US,429082,7514,1671329,2262,3/19/2020,9,39.6,10.4,31.4,0.6,0.8,10.8,6.4,215917,,,37.8,-122.3,3/1/2020,o3,Oakland
151,Alameda,US,429082,7514,1671329,2262,3/19/2020,9,39.6,10.4,31.4,0.6,0.8,10.8,6.4,215917,,,37.8,-122.3,3/1/2020,no2,Oakland
152,Alameda,US,429082,7514,1671329,2262,3/19/2020,9,39.6,10.4,31.4,0.6,0.8,10.8,6.4,215917,,,37.8,-122.3,3/1/2020,co,Oakland
153,Douglas,US,468262,3356,571327,1741,,11.6,73.6,11,4.3,0.8,0.1,6.7,3.4,68170,,,41.25716,-95.995102,,,Omaha
154,Philadelphia,US,1584138,11683,1584064,11824,3/23/2020,24.3,38.8,41.9,7.7,0.5,0.1,7.5,3.5,207563,,,39.952583,-75.165222,2/20/2020,o3,Philadelphia
155,Maricopa,US,1660272,3120,4485414,487,3/31/2020,12.3,69.4,5.9,4.3,2.2,0.2,13.8,4.1,615277,,,33.448376,-112.074036,2/20/2020,o3,Phoenix
156,Maricopa,US,1660272,3120,4485414,487,3/31/2020,12.3,69.4,5.9,4.3,2.2,0.2,13.8,4.1,615277,,,33.448376,-112.074036,2/20/2020,pm25,Phoenix
